city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Pune,2015,25.71054794520548,31.016438356164382,20.404657534246574,1241.2,166,13.095890410958905
Pune,2016,25.560519125683058,30.656830601092896,20.464207650273224,2164.8,166,13.219945355191257
Pune,2017,25.48712328767123,30.861369863013696,20.112876712328767,935.4,162,17.95260273972603
Pune,2018,25.59109589041096,30.90684931506849,20.275342465753425,680.9,161,18.18931506849315
Pune,2019,25.55191780821918,30.82054794520548,20.283287671232877,1480.4,170,17.853150684931506
Pune,2020,25.45437158469945,30.509836065573772,20.398907103825138,1485.2,177,16.66639344262295
Pune,2021,25.314794520547945,30.211780821917806,20.41780821917808,952.8,193,17.062465753424657
Pune,2022,25.431917808219175,30.87315068493151,19.990684931506852,1076.7,156,17.372876712328768
Pune,2023,25.842602739726026,31.359178082191782,20.326027397260273,782.0,161,17.685205479452055
Pune,2024,26.185792349726775,31.609562841530057,20.762021857923497,1413.1,176,17.86775956284153
